episode,reward,steps,success,dist_to_goal
0,349.74,402,0,38.88
1,2130.82,812,1,1.98
2,425.33,387,0,30.08
3,553.57,529,0,30.26
4,349.63,403,0,38.82
5,436.8,437,0,35.89
6,717.98,646,0,22.66
7,23.79,163,0,54.89
8,466.87,498,0,32.75
9,1041.21,1001,1,2.35
10,850.5,783,0,14.1
11,697.25,684,0,20.32
12,21.93,150,0,54.95
13,2063.6,832,1,1.98
14,813.15,730,0,17.55
15,21.32,160,0,54.89
16,919.84,815,0,11.52
17,2117.14,891,1,1.99
18,2104.49,836,1,2.0
19,746.44,665,0,21.39
20,23.14,163,0,54.89
21,22.18,150,0,54.93
22,2114.39,844,1,1.96
23,563.63,497,0,22.95
24,251.8,335,0,43.42
25,2104.63,818,1,1.96
26,200.78,279,0,46.79
27,23.52,163,0,54.89
28,2107.82,852,1,1.99
29,2154.03,836,1,1.97
30,2138.8,803,1,1.98
31,21.96,150,0,54.94
32,255.15,324,0,43.74
33,22.91,162,0,54.89
34,864.49,768,0,14.36
35,23.15,163,0,54.88
36,748.09,716,0,18.08
37,538.56,560,0,29.16
38,21.59,160,0,54.87
39,135.6,243,0,49.46
40,22.02,150,0,54.94
41,2101.39,834,1,2.0
42,2082.53,869,1,1.99
43,756.1,675,0,20.72
44,2152.73,827,1,2.0
45,413.63,479,0,34.02
46,791.6,681,0,19.31
47,22.05,150,0,54.94
48,947.79,870,0,10.64
49,329.83,376,0,40.48
50,22.5,162,0,54.89
51,239.12,374,0,46.58
52,540.41,549,0,28.74
53,42.01,201,0,54.89
54,2116.06,809,1,1.96
55,231.44,309,0,44.85
56,649.5,618,0,23.97
57,2150.28,839,1,1.97
58,754.88,680,0,20.62
59,596.43,547,0,28.37
60,1075.71,915,0,5.68
61,2115.23,826,1,1.98
62,988.21,938,0,8.96
63,2144.71,821,1,1.99
64,392.39,433,0,37.0
65,1002.95,1093,1,3.32
66,939.59,828,0,10.87
67,22.02,150,0,54.94
68,742.93,651,0,14.03
69,22.02,150,0,54.94
70,800.17,728,0,17.44
71,867.68,832,0,11.97
72,137.27,246,0,49.51
73,610.88,645,0,25.11
74,22.05,150,0,54.94
75,649.42,620,0,24.64
76,271.63,278,0,37.91
77,22.03,150,0,54.94
78,22.51,162,0,54.88
79,2085.93,894,1,1.99
80,973.6,894,0,10.66
81,806.25,861,0,17.87
82,2102.33,957,1,1.97
83,663.7,686,0,20.95
84,2118.41,841,1,1.99
85,713.3,678,0,20.44
86,24.0,164,0,54.89
87,612.22,624,0,24.0
88,22.08,161,0,54.89
89,423.52,444,0,35.51
90,763.04,739,0,17.4
91,302.6,366,0,41.28
92,2101.65,1113,1,2.0
93,2135.26,821,1,1.96
94,214.26,304,0,45.4
95,304.99,361,0,41.3
96,987.64,1031,1,3.37
97,837.52,784,0,14.52
98,152.07,197,0,43.35
99,21.88,161,0,54.88
